3, -5.14 -0.04 -1.37 0.9 0.49 -0.09;
4, -3.01 0.65 -1.69 0.9 0.46 -0.1;
5, -4.5 1.63 1.21 0.87 0.53 -0.1;
6, -4.17 0.21 -1.18 0.87 0.54 -0.17;
7, -4.95 -2.31 -3.1 -0.04 0.94 -0.34;
8, -5.57 -1.69 -0.28 0.97 0.35 -0.11;
9, -4.02 -0.05 -5.39 0.81 0.61 -0.16;
10, 8.16 4.6 0.68 0.75 0.67 -0.17;
11, -3.82 1.25 -5.34 0.78 0.64 -0.1;
12, -2.48 -0.77 -3.54 0.75 0.65 -0.25;
13, -7.91 -2.95 -1.92 0.75 0.66 -0.07;
14, -4.87 1.47 -5.58 0.79 0.59 -0.3;
15, -8.06 -4.6 -1.52 0.85 0.55 -0.18;
16, -0.41 -2.22 0.47 0.5 -0.87 0.13;
17, -217.59 -8.65 -38.99 0.92 -0.27 0.13;
18, 29.11 -0.69 14.64 0.91 -0.4 -0.07;
